Text - Model: Twitter Messages,Label,Score,,
"im getting on borderlands and i will murder you all ,",negative,0.8746182323,1,
"I am coming to the borders and I will kill you all,",negative,0.9042733312,1,
"im getting on borderlands and i will kill you all,",negative,0.8749246597,,
"im coming on borderlands and i will murder you all,",negative,0.8504395485,,
"im getting on borderlands 2 and i will murder you me all,",negative,0.7481372952,,
"im getting into borderlands and i can murder you all,",negative,0.7977918983,,
So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,positive,0.9708361626,1,0
"So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg",positive,0.9646849036,,
So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.,positive,0.9793245792,,
So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,positive,0.95993191,,
2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,positive,0.9570038915,,
was,positive,0.4559987485,,
"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF",positive,0.6254957318,,
"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it / RMTrgF",positive,0.6094279289,,
"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dfr.it / RMTrgF",positive,0.6036818027,,
"Rock-Hard La Vita, RARE BUT POWERFUL, HANDSOME JACKPOT, Borderlands 1 (Xbox) dlvr.it/RMTrgF",positive,0.6527506113,,
"Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF",neutral,0.5097534657,,
"I-Hard like me, RARE LONDON DE, HANDSOME 2011, Borderlands 3 (Xbox) dlvr.it/RMTrgF",neutral,0.7638409734,,
that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,positive,0.9846032858,,
